Country,Year,% of 25-64 year olds with Below Upper Secondary Education,% of 25-64 year olds with Tertiary Education,% of 25-64 year olds with Upper Secondary Education
PRT,2015,54.877064,22.857506,22.26543
PRT,2016,53.085728,23.855154,23.05912
PRT,2017,52.04673,24.039421,23.913849
PRT,2018,50.189827,24.984337,24.825838
PRT,2019,47.824013,26.284128,25.891859
PRT,2020,44.603264,28.164339,27.232395
PRT,2021,40.549065,31.08424,28.366695
RUS,2010,7.195199,50.371468,42.433334
RUS,2011,7.2196174,50.557613,42.222771
RUS,2012,6.9798198,50.516804,42.503376
RUS,2013,6.7129874,51.261497,42.025513
RUS,2014,6.6331944,51.567863,41.798943
RUS,2015,6.3395805,52.42807,41.232349
RUS,2016,6.0239758,53.056892,40.919132
RUS,2017,4.757205,56.70015,38.542645
RUS,2018,4.8022981,56.725521,38.472183
SVK,2010,9.034791,17.327984,73.63723
SVK,2011,8.7385187,18.617317,72.644165
SVK,2012,8.2851295,18.979084,72.735786
SVK,2013,8.2006197,19.87734,71.922043
SVK,2014,9.1611462,20.379578,70.459274
SVK,2015,8.7147398,21.149881,70.135376
SVK,2016,8.2509651,21.979519,69.769516
SVK,2017,8.6990681,23.095415,68.205521
SVK,2018,8.4211197,24.58342,66.995461
SVK,2019,8.7892141,25.786274,65.424515
SVK,2020,7.5463114,26.773348,65.680344
SVK,2021,6.8340263,27.911043,65.254929
SVN,2010,16.689947,23.716619,59.593433
SVN,2011,15.523709,25.09059,59.3857
SVN,2012,15.027221,26.439035,58.533745
SVN,2013,14.546692,27.880541,57.572769
SVN,2014,14.274657,28.600916,57.124428
SVN,2015,13.213673,30.173296,56.613033
SVN,2016,12.65544,30.735788,56.608772
SVN,2017,12.3177,34.302807,53.379494
SVN,2018,11.862703,32.455208,55.682087
SVN,2019,11.202892,33.283279,55.513828
SVN,2020,9.7609425,35.881027,54.358028
SVN,2021,8.69,40.3,51.01
SWE,2010,13.727367,33.868935,52.403698
SWE,2011,12.964911,35.174355,51.860733
SWE,2012,12.497745,35.698952,51.803307
SWE,2013,11.829718,37.034386,51.135899
SWE,2014,18.445162,38.700306,42.85453
SWE,2015,18.024088,39.786552,42.189362
SWE,2016,17.272491,41.139179,41.588329
SWE,2017,17.003588,41.936691,41.059723
SWE,2018,16.712725,43.247318,40.039955
SWE,2019,16.366867,43.970543,39.662586
SWE,2020,16.099548,44.608795,39.291656
SWE,2021,15.142161,46.648315,38.209526
TUR,2010,68.793961,13.118464,18.087578
TUR,2011,67.851822,14.034094,18.114084
TUR,2012,66.135818,15.290227,18.573956
TUR,2013,65.167839,15.907355,18.924805
TUR,2014,64.367012,16.693634,18.939352
TUR,2015,63.007553,18.020138,18.972311
TUR,2016,61.486542,19.362528,19.15093
TUR,2017,60.708405,20.013071,19.278526
TUR,2018,59.763054,20.780222,19.456722
TUR,2019,58.29987,21.951159,19.74897
TUR,2021,55.102688,24.452457,20.444857
USA,2010,11.030482,41.662415,47.307102
USA,2011,10.741901,42.44838,46.809719
USA,2012,10.692155,43.052437,46.255409
USA,2013,10.371985,43.910252,45.717762
USA,2014,10.429553,44.224617,45.345833
USA,2015,10.457861,44.629398,44.912739
USA,2016,9.8527498,45.666355,44.480896
USA,2017,9.3544931,46.3568,44.288704
USA,2018,9.1761637,47.431145,43.392693
USA,2019,9.1898708,48.340187,42.469944
USA,2020,8.2770815,50.055275,41.667641
USA,2021,8.2938099,50.316986,41.389202
ZAF,2010,57.293068,6.860743,35.846188
ZAF,2011,56.113945,7.147109,36.738945
ZAF,2012,58.530075,9.5728703,31.897055
ZAF,2013,60.621803,12.632441,26.745756
ZAF,2014,59.530769,12.759739,27.709494
ZAF,2015,59.361786,13.034455,27.603758
ZAF,2016,58.211182,13.804585,27.984232
ZAF,2017,55.935062,15.495651,28.569286
ZAF,2018,55.297176,15.387996,29.314827
ZAF,2019,54.462048,15.798151,29.739803
ZAF,2020,52.348087,15.839705,31.812206
